title,url,query_used,source_family,source_category,source_tier,source_decision,decision_reason,source_trust_level,target_relevance,is_new_source
ABM Hourly Jobs | Facility & Cleaning Roles Nationwide,https://www.abm.com/careers/roles/hourly,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,15,True
ABM Releases Latest ESG Sustainability Impact Report,https://investor.abm.com/news-releases/news-release-details/abm-releases-latest-esg-sustainability-impact-report,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,15,True
Annual Report - ABM Investor Relations,https://investor.abm.com/static-files/7fee5c9e-83da-4511-a1bd-476c73d0fd11,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Tier 2 source is too weak for direct admission but may provide peripheral context.,medium,15,True
Annual Reports | ABM Industries Incorporated,https://investor.abm.com/financial-results/annual-reports,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,auxiliary_only,Tier 2 source is too weak for direct admission but may provide peripheral context.,medium,15,True
Commercial Facility Maintenance Solutions | ABM,https://www.abm.com/industries/commercial-real-estate,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,15,True
New York Locations - ABM Facility Maintenance Solutions,https://locations.abm.com/ny/,"""ABM Industries Incorporated"" facility shift schedule",identity_asset,official_company,tier2_secondary,auxiliary_only,Generic company page is not strong enough to support facility identity evidence.,medium,15,True
Benchmarking Preventative-to-Corrective Maintenance Ratios Using ...,https://ascelibrary.org/doi/abs/10.1061/%28ASCE%29ME.1943-5479.0000996,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,5,True
Facilities Management Efficiency: Understanding Benchmarks and ...,https://clsfacilityservices.com/blog/facilities-management-efficiency-understanding-benchmarks-and-service-ratios/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,5,True
Spacewell: Smart Building Software | Building Operations Platform,https://spacewell.com/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,5,True
The Facility Services Industry and M&A - Benchmark International,https://www.benchmarkintl.com/insights/the-facility-services-industry-and-ma/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,5,True
The current state of benchmarking use and networks in facilities ...,https://www.researchgate.net/publication/363020016_The_current_state_of_benchmarking_use_and_networks_in_facilities_management,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,5,True
Home - A2MAC1,https://www.a2mac1.com/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,0,True
"IBISWorld - Industry Intelligence, Data and Analysis | IBISWorld",https://www.ibisworld.com/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,0,True
ISN | ISNetworld | Official Site,https://www.isnetworld.com/en,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,0,True
Welcome - GRESB,https://www.gresb.com/,"""facility services"" energy benchmark official",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,0,True
Newark Airport | ABM Parking,https://abmparking.com/facilities/newark-airport/,"""ABM Industries Incorporated"" facility shift schedule",benchmark_archetype,other_public,tier2_secondary,auxiliary_only,Benchmark evidence from non-curated public sources is auxiliary until corroborated by an accepted official benchmark source.,medium,-2,True
"Power Profiler Allows Users to See Emissions, Electric Sources",https://eponline.com/articles/2011/03/31/power-profiler-allows-users-to-see-emissions-electric-sources.aspx,"""facility services"" EPA power profiler official",general_public,other_public,tier2_secondary,rejected_source,General-public result did not map to an admissible source family for Phase 1 evidence.,medium,28,True
WMO Climatological Normals,https://community.wmo.int/site/knowledge-hub/programmes-and-initiatives/climate-services/wmo-climatological-normals,"""facility services"" climate normals official",general_public,other_public,tier2_secondary,rejected_source,General-public result did not map to an admissible source family for Phase 1 evidence.,medium,28,True
ABM Careers by Industry | Commercial Office Jobs,https://www.abm.com/careers/industries/commercial-office,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,20,True
ABM Parking Careers | Valet & Garage Jobs,https://www.abm.com/careers/industries/parking,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,20,True
Operations & Field Management Jobs - ABM Careers,https://www.abm.com/careers/roles/operations-field-management,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,20,True
Operations & Maintenance - ABM,https://www.abm.com/solutions/service-family/operations-maintenance,"""ABM Industries Incorporated"" jobs shift operations",identity_asset,official_company,tier2_secondary,rejected_source,Commercial product or vendor-style URL pattern is not admissible for critical evidence.,medium,20,True
ABM Industries hiring Operations Supervisor-Parking Job in ...,"https://www.glassdoor.com/job-listing/operations-supervisor-parking-abm-industries-JV_IC1154259_KO0,29_KE30,44.htm?jl=1009842687953","""ABM Industries Incorporated"" jobs shift operations",operations_signal,other_public,tier2_secondary,rejected_source,Blocked social/job/review domain is not admissible for Phase 1 evidence.,medium,20,True
ABM Aviation Jobs | Airport & Airline Support Careers,https://www.abm.com/careers/industries/aviation,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
ABM Careers by Industry | Manufacturing & Distribution Jobs,https://www.abm.com/careers/industries/manufacturing-distribution,"""ABM Industries Incorporated"" facility shift schedule",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
"ABM Careers | Corporate Jobs in Finance, HR, Marketing",https://www.abm.com/careers/roles/corporate,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
ABM Connect - ABM,https://www.abm.com/abm-connect,"""ABM Industries Incorporated"" facility shift schedule",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
ABM Electrical Power: Reliable Resource Protection,https://www.abm.com/perspectives/abm-electrical-power-services-protecting-resources-with-reliable-results,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Advancing Sustainability - ABM,https://www.abm.com/who-we-are/advancing-sustainability,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Corporate Responsibility - ABM,https://www.abm.com/company/corporate-responsibility,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Data Center partners with ABM to implement UPS solution and ...,https://www.abm.com/perspectives/data-center-partners-with-abm-to-implement-ups-solution-and-restore-site-wide-uptime,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
How ABM Hires | Job Application & Interview Process,https://www.abm.com/careers/how-we-hire,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
How Electrification Is Transforming Industrial Facilities - ABM,https://www.abm.com/perspectives/how-electrification-is-transforming-industrial-facilities,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Life at ABM | What It's Like to Work Here,https://www.abm.com/careers/life-at-abm,"""ABM Industries Incorporated"" jobs site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Microgrids & Power Storage - ABM,https://www.abm.com/solutions/service-line/microgrids-and-power-storage,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Commercial product or vendor-style URL pattern is not admissible for critical evidence.,medium,15,True
Powering Up Distribution - ABM Perspectives,https://www.abm.com/perspectives/powering-up-distribution,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Steps to Eco-Friendly Waste Management - ABM Perspectives,https://www.abm.com/perspectives/steps-to-eco-friendly-waste-management,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Sustainable Services and Programs - ABM,https://www.abm.com/solutions/sets/sustainability,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Commercial product or vendor-style URL pattern is not admissible for critical evidence.,medium,15,True
The ROI of Resiliency: Future-Proofing Facilities - ABM,https://www.abm.com/perspectives/roi-of-resiliency-facilities-of-the-future-insights,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
Thriving Learning Environments | ABM School Facilities Management,https://www.abm.com/perspectives/creating-thriving-learning-environments-with-abm,"""ABM Industries Incorporated"" sustainability report site:abm.com",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,15,True
UPS & Battery Maintenance - ABM,https://www.abm.com/solutions/service-line/ups-battery-maintenance,"""ABM Industries Incorporated"" backup power generator facility",identity_asset,official_company,tier2_secondary,rejected_source,Commercial product or vendor-style URL pattern is not admissible for critical evidence.,medium,15,True
and Polyfluoroalkyl Substances (PFAS) National Primary Drinking ...,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P101CN6L.TXT,"""facility services"" EPA power profiler official",energy_emissions,official_energy,tier1_primary,rejected_source,Official domain result does not match the intended evidence pattern for this source family.,high,11,True
Commercial Cleaning Services | ABM,https://www.abm.com/solutions/service-line/commercial-janitorial-cleaning,"""ABM Industries Incorporated"" jobs shift operations",identity_asset,official_company,tier2_secondary,rejected_source,Commercial product or vendor-style URL pattern is not admissible for critical evidence.,medium,10,True
Login | ABM Plus,https://abmplus.abm.com/login?locale=us,"""ABM Industries Incorporated"" jobs shift operations",identity_asset,official_company,tier2_secondary,rejected_source,Identity result lacks enough facility/company intent to justify admission.,medium,10,True
20 ABM Industries Interview Questions and Answers - CLIMB,https://climbtheladder.com/abm-industries-interview-questions/,"""ABM Industries Incorporated"" facility shift schedule",general_public,other_public,tier2_secondary,rejected_source,General-public result did not map to an admissible source family for Phase 1 evidence.,medium,10,True
ABM Industries - Facebook,https://www.facebook.com/ABMIndustries/posts/with-over-50-retail-clients-abm-is-proud-to-support-the-spaces-where-people-shop/1291836992977781/,"""ABM Industries Incorporated"" facility shift schedule",general_public,other_public,tier2_secondary,rejected_source,Blocked social/job/review domain is not admissible for Phase 1 evidence.,medium,10,True
ABM Industries - Facebook,https://www.facebook.com/ABMIndustries/posts/at-abm-operational-excellence-starts-with-talent-thats-why-weve-launched-a-dynam/1415256307302515/,"""ABM Industries Incorporated"" jobs shift operations",general_public,other_public,tier2_secondary,rejected_source,Blocked social/job/review domain is not admissible for Phase 1 evidence.,medium,10,True
